feature,importance
eda_scl_mean,0.30173629438825167
rr_mean_ms,0.102436832573409
hr_mean,0.09490938162685361
temp_max,0.07439633022581756
temp_min,0.06917000277509483
temp_slope_per_min,0.05302659669551648
rmssd_ms,0.050037987319768475
pnn50,0.04908021634348233
eda_phasic_std,0.0429405940554023
ecg_quality_score,0.03503586796267097
eda_scr_count,0.02596511615983808
temp_mean,0.025380256884329423
temp_std,0.024280423166845668
sdnn_ms,0.021998108057366447
eda_scr_density,0.016802709818669374
eda_scr_amplitude_mean,0.012803281946683892
eda_quality_score,0.0
temperature_quality_score,0.0
