model_name,feature_set_name,accuracy,macro_f1,subject_accuracy_mean,subject_accuracy_std,subject_macro_f1_mean,subject_macro_f1_std
Boosting,ECG+EDA+TEMP,0.7276166456494325,0.5262583823214528,0.7339180890428647,0.13346455954039094,0.476536300655516,0.15096554655457
RF,ECG+EDA+TEMP,0.7566204287515763,0.4961461756452293,0.7535589475889605,0.13042930430990396,0.4339853461258735,0.1511082648292062
LR,ECG+EDA+TEMP,0.544766708701135,0.45413837931532575,0.5204051649268885,0.24608332392097798,0.41618859791441654,0.2155373420340489
RF,EDA-only,0.7200504413619168,0.4062824280483763,0.730855078859486,0.08215622267694797,0.41133992301399736,0.11021025957475897
RF,ECG-only,0.7023959646910467,0.4618893904724923,0.7139377888177177,0.12452625633440337,0.39504517060965405,0.1503410433321874
Boosting,ECG-only,0.6733921815889029,0.4683206514190849,0.6964593272079974,0.17711338975760466,0.3889167273614965,0.16904506412535789
SVM,ECG-only,0.5435056746532156,0.43794720830130496,0.5293940604106927,0.23317679602821317,0.38660600617295166,0.14927259796179393
SVM,ECG+EDA+TEMP,0.544766708701135,0.42660095213394467,0.5380905493499495,0.20375686001989432,0.36749109905517474,0.13675917151413033
Boosting,TEMP-only,0.6670870113493065,0.32270877379324664,0.6760036664440753,0.09570796418480608,0.3536082987953152,0.1276798774607998
Boosting,EDA-only,0.6986128625472888,0.3345313036491986,0.7075713151425327,0.10300493394915639,0.34997164602016784,0.10771011204200581
LR,ECG-only,0.4791929382093317,0.39253866994385983,0.4701409374621066,0.25127875913890524,0.3474875940403931,0.16554832797944205
RF,TEMP-only,0.6443883984867591,0.31502840089126594,0.651344197112286,0.09390713702715532,0.34543814756120256,0.11617679039404026
LR,TEMP-only,0.3114754098360656,0.2635116148724483,0.3045393802417816,0.16439864031427998,0.22916610539529467,0.12312066539988079
SVM,EDA-only,0.25851197982345525,0.2596962115974959,0.26693158834354264,0.18964128204599173,0.2240441227499991,0.13610728516683115
SVM,TEMP-only,0.33669609079445145,0.2727933589497507,0.3244929560523787,0.23691523665446546,0.22369023216021489,0.1614566507899629
LR,EDA-only,0.2572509457755359,0.26206631181232115,0.2373150363568075,0.14072719970168032,0.2098034111664031,0.13869601358421638
