model_name,feature_set_name,accuracy,macro_f1,n_train_windows,n_test_windows
RF,ECG+EDA+TEMP,0.9308176100628931,0.8951414368874961,634,159
Boosting,ECG+EDA+TEMP,0.9245283018867925,0.8838251556952447,634,159
SVM,ECG+EDA+TEMP,0.7358490566037735,0.7222222222222222,634,159
SVM,ECG-only,0.7421383647798742,0.6668618552676523,634,159
Boosting,EDA-only,0.8238993710691824,0.6366013071895426,634,159
RF,EDA-only,0.8113207547169812,0.6181139122315593,634,159
RF,TEMP-only,0.7861635220125787,0.6130756477196803,634,159
Boosting,ECG-only,0.8050314465408805,0.6067501479612497,634,159
LR,ECG+EDA+TEMP,0.6289308176100629,0.5763036668509306,634,159
RF,ECG-only,0.7987421383647799,0.5722956618879166,634,159
LR,ECG-only,0.6037735849056604,0.5316161616161615,634,159
Boosting,TEMP-only,0.7610062893081762,0.4982905982905983,634,159
LR,EDA-only,0.3710691823899371,0.37222744593457713,634,159
SVM,TEMP-only,0.42138364779874216,0.3710070929490854,634,159
LR,TEMP-only,0.37735849056603776,0.32927514019322207,634,159
SVM,EDA-only,0.2830188679245283,0.3162837624020402,634,159
