window_config,model_name,baseline_feature_set,expanded_feature_set,baseline_subject_macro_f1_mean,expanded_subject_macro_f1_mean,delta_subject_macro_f1_mean
10s/5s,RF,EDA-only,EDA-only-expanded,0.3709953981257536,0.4386341397879216,0.06763874166216799
10s/5s,Boosting,EDA-only,EDA-only-expanded,0.35286115304343135,0.41957444339889666,0.0667132903554653
10s/5s,SVM,EDA-only,EDA-only-expanded,0.41581114039153666,0.46643636174428355,0.050625221352746885
10s/5s,LR,ECG+EDA+TEMP,ECG+EDA+TEMP-expanded,0.4251114984407826,0.46936298239224944,0.04425148395146683
10s/5s,Boosting,ECG-only,ECG-only-expanded,0.3730923596869369,0.4093488857821646,0.036256526095227726
10s/5s,SVM,ECG+EDA+TEMP,ECG+EDA+TEMP-expanded,0.41010112130730053,0.4444118096128413,0.03431068830554079
10s/5s,RF,ECG-only,ECG-only-expanded,0.3942170862030141,0.41945750141010535,0.02524041520709125
10s/5s,RF,ECG+EDA+TEMP,ECG+EDA+TEMP-expanded,0.4462660564775744,0.4618446080371772,0.015578551559602805
10s/5s,LR,ECG-only,ECG-only-expanded,0.36239321862979634,0.37566533997944807,0.013272121349651722
10s/5s,Boosting,ECG+EDA+TEMP,ECG+EDA+TEMP-expanded,0.4394862505540535,0.432007756477569,-0.007478494076484488
10s/5s,LR,EDA-only,EDA-only-expanded,0.45312233588022194,0.44296221131531094,-0.010160124564911
10s/5s,SVM,ECG-only,ECG-only-expanded,0.37871366703867787,0.3659941122171763,-0.012719554821501555
