model_name,feature_set_name,accuracy,macro_f1,n_train_windows,n_test_windows
RF,ECG+EDA+TEMP,0.9609375,0.9348993058192724,4608,1152
Boosting,ECG+EDA+TEMP-expanded,0.9539930555555556,0.9282752576596023,4608,1152
RF,ECG+EDA+TEMP-expanded,0.953125,0.9266911349520045,4608,1152
Boosting,ECG+EDA+TEMP,0.9331597222222222,0.8914526636849686,4608,1152
RF,ECG-only-expanded,0.8784722222222222,0.7855395195006262,4608,1152
Boosting,ECG-only-expanded,0.8697916666666666,0.7668111377781642,4608,1152
SVM,ECG+EDA+TEMP-expanded,0.7986111111111112,0.7602455473822362,4608,1152
SVM,ECG+EDA+TEMP,0.7352430555555556,0.7038662526984698,4608,1152
SVM,ECG-only-expanded,0.7239583333333334,0.6671999780442176,4608,1152
RF,EDA-only,0.8012152777777778,0.642911281844507,4608,1152
Boosting,EDA-only-expanded,0.8211805555555556,0.6372935864906335,4608,1152
Boosting,EDA-only,0.8125,0.6295657676966566,4608,1152
LR,ECG+EDA+TEMP-expanded,0.6822916666666666,0.6256724651599264,4608,1152
RF,EDA-only-expanded,0.7994791666666666,0.5521079484579794,4608,1152
SVM,EDA-only-expanded,0.7057291666666666,0.5422762639152764,4608,1152
LR,ECG+EDA+TEMP,0.6032986111111112,0.5339707622429931,4608,1152
RF,ECG-only,0.7795138888888888,0.5303680615429178,4608,1152
LR,ECG-only-expanded,0.5815972222222222,0.5178847458549546,4608,1152
RF,TEMP-only,0.7534722222222222,0.5178280237828865,4608,1152
SVM,ECG-only,0.59375,0.5116947967642065,4608,1152
Boosting,ECG-only,0.7795138888888888,0.5048732499028897,4608,1152
LR,EDA-only,0.7057291666666666,0.5043106727769439,4608,1152
LR,EDA-only-expanded,0.6310763888888888,0.49960449821620695,4608,1152
SVM,EDA-only,0.6666666666666666,0.47051454220340844,4608,1152
Boosting,TEMP-only,0.7604166666666666,0.45109224628725403,4608,1152
LR,ECG-only,0.4765625,0.418118658047469,4608,1152
SVM,TEMP-only,0.4192708333333333,0.38173615029551744,4608,1152
LR,TEMP-only,0.3932291666666667,0.344708268958378,4608,1152
