model_name,feature_set_name,accuracy,macro_f1,subject_accuracy_mean,subject_accuracy_std,subject_macro_f1_mean,subject_macro_f1_std
LR,ECG+EDA+TEMP-expanded,0.6582597730138714,0.5975736872071126,0.6494902368730107,0.20043302946658761,0.520590712916713,0.18959575734194037
Boosting,ECG+EDA+TEMP,0.7187894073139974,0.5069778061108624,0.7281873749040332,0.13822062658174403,0.4687067230133409,0.1534421030313822
RF,ECG+EDA+TEMP-expanded,0.7818411097099621,0.5053394750198338,0.7862625753195445,0.07047994185082844,0.45349129045902425,0.10670514478035148
RF,ECG+EDA+TEMP,0.7540983606557377,0.488037090446729,0.7519006591475503,0.12357730716398428,0.43335074602361073,0.14934346719883373
RF,ECG-only,0.7162673392181589,0.47984934613720664,0.7292225650515706,0.1277918147904425,0.42049353742898077,0.16652853077380372
RF,ECG-only-expanded,0.7263556116015133,0.3901795529764453,0.7456780006081438,0.1407261507407855,0.4178863030034593,0.15448131806185192
SVM,EDA-only-expanded,0.6305170239596469,0.44536299315241884,0.6402884125646042,0.11030498591205863,0.4146951780825953,0.11330784296938969
Boosting,ECG+EDA+TEMP-expanded,0.6860025220680959,0.46840851694848773,0.6954901067958436,0.15346927145328593,0.4138819115648368,0.1153932534334487
RF,EDA-only,0.7200504413619168,0.4062824280483763,0.730855078859486,0.08215622267694797,0.41133992301399736,0.11021025957475897
Boosting,ECG-only,0.6796973518284993,0.48248527746381575,0.7023459730540755,0.17680143488463698,0.4075456284531272,0.172988542582407
SVM,ECG+EDA+TEMP-expanded,0.6191677175283733,0.5006091197408749,0.6122727548599016,0.18750870405675935,0.4063754682459572,0.133633256562243
LR,ECG+EDA+TEMP,0.5397225725094578,0.44288570078373296,0.5144340845964409,0.25204654342944943,0.4038348419127626,0.2206911156364418
Boosting,EDA-only-expanded,0.7540983606557377,0.41021351400110917,0.7654543436861896,0.07236685934618621,0.3983611027569434,0.11195769813946027
SVM,ECG-only-expanded,0.5460277427490542,0.42493530516058103,0.5503289699414043,0.19491716600563128,0.3904830683852113,0.15532987191553482
RF,EDA-only-expanded,0.7629255989911727,0.38588358934419303,0.7709515292634256,0.06222809752139546,0.3854251023144608,0.0876731241206648
LR,EDA-only-expanded,0.5611601513240857,0.43604214684356685,0.5600229847486322,0.10657983177003286,0.3793299917872474,0.11352978252583186
Boosting,ECG-only-expanded,0.639344262295082,0.36871345029239766,0.6545141720227441,0.17846683565359306,0.37719494781829216,0.1630446776596118
SVM,ECG-only,0.5334174022698613,0.4299903016012398,0.5211341410583364,0.22737804000429554,0.37614354048871296,0.14543924227032998
LR,ECG-only-expanded,0.4943253467843632,0.4008812857606238,0.4982989245008032,0.23030645419479515,0.3745043675465861,0.18345722020696997
SVM,ECG+EDA+TEMP,0.5397225725094578,0.4235398805481307,0.5328288247770794,0.2057860409918574,0.36440754532120334,0.13431126781397404
Boosting,TEMP-only,0.6670870113493065,0.32270877379324664,0.6760036664440753,0.09570796418480608,0.3536082987953152,0.1276798774607998
LR,ECG-only,0.48045397225725095,0.38998433782393827,0.47106045175868233,0.25390048682111294,0.3518750980819047,0.17683499697312013
Boosting,EDA-only,0.6986128625472888,0.3345313036491986,0.7075713151425327,0.10300493394915639,0.34997164602016784,0.10771011204200581
RF,TEMP-only,0.6443883984867591,0.31502840089126594,0.651344197112286,0.09390713702715532,0.34543814756120256,0.11617679039404026
LR,TEMP-only,0.3114754098360656,0.2635116148724483,0.3045393802417816,0.16439864031427998,0.22916610539529467,0.12312066539988079
SVM,EDA-only,0.25851197982345525,0.2596962115974959,0.26693158834354264,0.18964128204599173,0.2240441227499991,0.13610728516683115
SVM,TEMP-only,0.33669609079445145,0.2727933589497507,0.3244929560523787,0.23691523665446546,0.22369023216021489,0.1614566507899629
LR,EDA-only,0.2572509457755359,0.26206631181232115,0.2373150363568075,0.14072719970168032,0.2098034111664031,0.13869601358421638
