feature,importance
eda_scl_mean,0.18640303161229396
temp_mean,0.11014542270267288
hr_mean,0.10990641840238917
temp_min,0.1041870025658781
temp_max,0.10264818206010505
rr_mean_ms,0.09718913380605369
eda_phasic_std,0.09116443546880144
pnn50,0.027817359259829467
rmssd_ms,0.027428872123959443
sdnn_ms,0.024642404525220464
temp_slope_per_min,0.02184255894011923
eda_scr_amplitude_mean,0.02167541749216302
ecg_quality_score,0.021229641872285585
temp_std,0.017603067526614873
eda_scr_density,0.01749018447960375
eda_scr_count,0.01688818584407384
temperature_quality_score,0.001738681317935885
eda_quality_score,0.0
